(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1.5, 2, 0.5, 0, 3, 2.5): Return: 4.33%, Hit Ratio: 68.63%, Max Drawdown: 0.4%
(100, 1, 2, -0.5, -0.5, 3.5, 3): Return: 4.33%, Hit Ratio: 84.38%, Max Drawdown: 0.74%
(100, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: 4.33%, Hit Ratio: 84.38%, Max Drawdown: 0.74%
(30, 1, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 4.32%, Hit Ratio: 67.96%, Max Drawdown: 0.34%
(30, 1.5, 2, 0.5, 0.5, 3, 3.5): Return: 4.32%, Hit Ratio: 70.37%, Max Drawdown: 0.35%
(100, 1, 1.5, -0.5, -0.5, 2.5, 3): Return: 4.31%, Hit Ratio: 81.54%, Max Drawdown: 0.74%
(100, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: 4.31%, Hit Ratio: 81.54%, Max Drawdown: 0.74%
(100, 1, 1.5, -0.5, -0.5, 3, 3): Return: 4.31%, Hit Ratio: 84.38%, Max Drawdown: 0.74%
(100, 1, 1.5, -0.5, -0.5, 3, 3.5): Return: 4.31%, Hit Ratio: 84.38%, Max Drawdown: 0.74%
(30, 1.5, 2, 0.5, 0, 3, 3.5): Return: 4.3%, Hit Ratio: 67.92%, Max Drawdown: 0.35%
(100, 1, 2, -0.5, -0.5, 2.5, 3): Return: 4.29%, Hit Ratio: 81.25%, Max Drawdown: 0.74%
(100, 1, 2, -0.5, -0.5, 2.5, 3.5): Return: 4.29%, Hit Ratio: 81.25%, Max Drawdown: 0.74%
(100, 1, 2, -0.5, -0.5, 3, 3): Return: 4.29%, Hit Ratio: 84.13%, Max Drawdown: 0.74%
(100, 1, 2, -0.5, -0.5, 3, 3.5): Return: 4.29%, Hit Ratio: 84.13%, Max Drawdown: 0.74%
(30, 1, 1.5, 0.5, 0.5, 3.5, 2.5): Return: 4.28%, Hit Ratio: 70.75%, Max Drawdown: 0.33%
(30, 1.5, 2, 0.5, -0.5, 3, 2.5): Return: 4.28%, Hit Ratio: 68.63%, Max Drawdown: 0.44%
(30, 1, 2, 0.5, 0.5, 2.5, 3.5): Return: 4.27%, Hit Ratio: 67.65%, Max Drawdown: 0.54%
