,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_bid_us_at,avg_ask_us_at
227,2016-10-17,104.04799999999999,104.051,104.07799999999999,104.081,104.069,104.072,104.06700000000001,104.07
228,2016-10-18,103.85700000000001,103.861,103.861,103.86399999999999,104.148,104.15,104.139,104.141
229,2016-10-19,103.869,103.87299999999999,103.88799999999999,103.89200000000001,103.39299999999999,103.39399999999999,103.385,103.38799999999999
230,2016-10-20,103.39,103.39399999999999,103.43299999999999,103.436,103.662,103.665,103.634,103.63600000000001
231,2016-10-21,104.115,104.119,104.131,104.135,103.61200000000001,103.61399999999999,103.60799999999999,103.61
232,2016-10-24,103.915,103.919,103.9,103.904,103.95100000000001,103.95299999999999,103.971,103.97200000000001
233,2016-10-25,104.322,104.32600000000001,104.31,104.31299999999999,104.851,104.853,104.84200000000001,104.844
234,2016-10-26,104.16799999999999,104.171,104.145,104.147,104.208,104.211,104.17200000000001,104.17299999999999
235,2016-10-27,104.561,104.565,104.57700000000001,104.58,104.84299999999999,104.845,104.836,104.838
236,2016-10-28,105.21600000000001,105.221,105.241,105.244,105.279,105.281,105.281,105.28299999999999
237,2016-10-31,104.58,104.585,104.56700000000001,104.57,105.01899999999999,105.021,105.01799999999999,105.021
238,2016-11-01,104.82799999999999,104.833,104.84,104.845,104.815,104.81700000000001,104.818,104.82
239,2016-11-02,104.086,104.089,104.071,104.074,103.306,103.30799999999999,103.316,103.319
240,2016-11-03,103.385,103.391,103.391,103.396,103.223,103.225,103.21,103.211
241,2016-11-04,103.05799999999999,103.061,103.056,103.05799999999999,102.984,102.986,102.954,102.95700000000001
242,2016-11-07,104.20299999999999,104.208,104.181,104.186,104.435,104.43700000000001,104.441,104.44200000000001
243,2016-11-08,104.456,104.46,104.43700000000001,104.439,104.786,104.788,104.792,104.795
244,2016-11-09,105.01100000000001,105.016,104.98,104.985,104.149,104.152,104.262,104.266
245,2016-11-10,105.81700000000001,105.82,105.84899999999999,105.853,106.896,106.899,106.89,106.89200000000001
246,2016-11-11,106.848,106.851,106.79,106.79299999999999,106.351,106.353,106.36200000000001,106.365
247,2016-11-14,106.883,106.887,106.863,106.867,108.036,108.038,108.061,108.06299999999999
248,2016-11-15,108.215,108.219,108.22,108.22399999999999,108.855,108.85700000000001,108.87,108.87299999999999
249,2016-11-16,109.007,109.01,109.023,109.02600000000001,109.238,109.241,109.272,109.274
250,2016-11-17,108.779,108.78200000000001,108.824,108.82799999999999,109.322,109.323,109.30799999999999,109.309
251,2016-11-18,110.25,110.255,110.193,110.196,110.22200000000001,110.22399999999999,110.26,110.262
252,2016-11-21,110.949,110.955,110.93,110.93700000000001,110.865,110.867,110.861,110.863
