(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1.5, 1, 0, -0.5, 3, 3.5): Return: 9.79%, Hit Ratio: 67.31%, Max Drawdown: 1.13%
(100, 1.5, 1, 0, -0.5, 3.5, 3.5): Return: 9.79%, Hit Ratio: 67.31%, Max Drawdown: 1.13%
(30, 1, 1, 0.5, 0, 3, 3.5): Return: 9.78%, Hit Ratio: 71.05%, Max Drawdown: 1.26%
(30, 1, 1, 0.5, 0, 3.5, 3.5): Return: 9.78%, Hit Ratio: 71.05%, Max Drawdown: 1.26%
(30, 1.5, 1, -0.5, 0, 3, 3): Return: 9.77%, Hit Ratio: 73.13%, Max Drawdown: 1.26%
(30, 1.5, 1, -0.5, 0, 3.5, 3): Return: 9.77%, Hit Ratio: 73.13%, Max Drawdown: 1.26%
(60, 1.5, 1, -0.5, -0.5, 2.5, 3.5): Return: 9.77%, Hit Ratio: 71.15%, Max Drawdown: 1.22%
(30, 2, 1, 0.5, 0.5, 3, 3): Return: 9.76%, Hit Ratio: 69.57%, Max Drawdown: 1.1%
(30, 2, 1, 0.5, 0.5, 3.5, 3): Return: 9.76%, Hit Ratio: 69.57%, Max Drawdown: 1.1%
(60, 1.5, 1, 0, 0, 2.5, 3): Return: 9.76%, Hit Ratio: 67.74%, Max Drawdown: 1.21%
(60, 1.5, 1, -0.5, -0.5, 3, 3.5): Return: 9.73%, Hit Ratio: 71.15%, Max Drawdown: 1.25%
(60, 1.5, 1, -0.5, -0.5, 3.5, 3.5): Return: 9.73%, Hit Ratio: 71.15%, Max Drawdown: 1.25%
(60, 1.5, 1, 0, 0, 3, 3): Return: 9.72%, Hit Ratio: 67.74%, Max Drawdown: 1.23%
(60, 1.5, 1, 0, 0, 3.5, 3): Return: 9.72%, Hit Ratio: 67.74%, Max Drawdown: 1.23%
(30, 1.5, 1, 0, 0, 3, 3): Return: 9.7%, Hit Ratio: 71.43%, Max Drawdown: 1.26%
(30, 1.5, 1, 0, 0, 3.5, 3): Return: 9.7%, Hit Ratio: 71.43%, Max Drawdown: 1.26%
(30, 2, 1, 0, -0.5, 2.5, 3): Return: 9.69%, Hit Ratio: 72.73%, Max Drawdown: 1.11%
(60, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 9.69%, Hit Ratio: 65.22%, Max Drawdown: 1.11%
(30, 2, 1, 0, -0.5, 3, 3.5): Return: 9.68%, Hit Ratio: 72.41%, Max Drawdown: 1.11%
