(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1.5, 1, 0.5, 0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 47.44%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 44.16%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 44.87%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 46.25%, Max Drawdown: 0.03%
(60, 2, 1, -0.5, 0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 48.94%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 2.5, 3): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 52.0%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 46.15%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 3, 3): Return: 0.05%, Hit Ratio: 47.17%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 49.09%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 44.44%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 45.45%, Max Drawdown: 0.02%
(60, 2, 1, -0.5, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 47.37%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 48.94%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 2.5, 3): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 52.0%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 44.23%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 3, 3): Return: 0.05%, Hit Ratio: 45.28%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 47.27%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 43.64%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 44.64%, Max Drawdown: 0.02%
(60, 2, 1, 0, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 46.55%, Max Drawdown: 0.02%
(60, 2, 1, 0.5, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 44.07%, Max Drawdown: 0.02%
(100, 1, 1, -0.5, -0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 49.53%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 50.46%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, 0, 3, 2.5): Return: 0.05%, Hit Ratio: 44.64%, Max Drawdown: 0.04%
(100, 1, 1, -0.5, 0, 3.5, 2.5): Return: 0.05%, Hit Ratio: 45.13%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 2.5, 2.5): Return: 0.05%, Hit Ratio: 43.1%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 2.5, 3): Return: 0.05%, Hit Ratio: 43.59%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3, 3): Return: 0.05%, Hit Ratio: 42.37%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3, 3.5): Return: 0.05%, Hit Ratio: 41.88%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3.5, 3): Return: 0.05%, Hit Ratio: 42.86%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3.5, 3.5): Return: 0.05%, Hit Ratio: 42.37%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 43.44%, Max Drawdown: 0.04%
